id,comment
1,"Nitin Gadkari ji ne naye highway ka kaam bahut tez karwaya hai. Toll plaza bhi fastag se fast ho gaye."
2,"BMC roads pe gaddhe abhi bhi waise hi hain, barish mein local trains hamesha late hoti hain. Kuch improve nahi hua."
3,"UPI payment system best hai, har jagah chalta hai bina kisi problem ke."
4,"Nayi GST policy small business owners ke liye bahut confusing hai, portal slow kaam kar raha hai."
5,"Swachh Bharat Abhiyan ka asar dikh raha hai, railway stations pehle se bahut saaf hain."
6,"PM Awas Yojana ka paisa abhi tak account mein nahi aaya, sarkari daftar ke chakkar katne pad rahe hain."
7,"Metro line expansion bahut acha step hai, traffic ki problem kaafi kam ho jayegi."
8,"Govt hospitals mein doctors ki kami hai aur dawaiyaan bhi time par nahi milti. Ispe dhyan do."
9,"Digital India campaign se gaon mein bhi internet pohoch gaya hai, bahut badiya kaam."
10,"Bijli ka bill is mahine bahut zyada aaya hai, jabki smart meter lag gaye hain. Fraud ho raha hai."
